Epoch 0, training_acc 0.834443, val_acc, 0.898551, training_loss, 0.639863, val_loss, 0.623284, time, 105
Epoch 1, training_acc 0.874958, val_acc, 0.890269, training_loss, 0.629152, val_loss, 0.625358, time, 226
Epoch 2, training_acc 0.886752, val_acc, 0.913561, training_loss, 0.626288, val_loss, 0.619777, time, 343
Epoch 3, training_acc 0.891507, val_acc, 0.898033, training_loss, 0.625112, val_loss, 0.623673, time, 462
Epoch 4, training_acc 0.886086, val_acc, 0.893892, training_loss, 0.626569, val_loss, 0.624886, time, 578
Epoch 5, training_acc 0.880023, val_acc, 0.905280, training_loss, 0.627984, val_loss, 0.622134, time, 703
Epoch 6, training_acc 0.891412, val_acc, 0.882505, training_loss, 0.625028, val_loss, 0.625907, time, 817
Epoch 7, training_acc 0.879310, val_acc, 0.901915, training_loss, 0.628119, val_loss, 0.622741, time, 939
Epoch 8, training_acc 0.883589, val_acc, 0.883023, training_loss, 0.627218, val_loss, 0.627186, time, 1052
Epoch 9, training_acc 0.865281, val_acc, 0.875259, training_loss, 0.631670, val_loss, 0.628721, time, 1171
Epoch 10, training_acc 0.861525, val_acc, 0.870342, training_loss, 0.632579, val_loss, 0.630665, time, 1285
Epoch 11, training_acc 0.876385, val_acc, 0.873706, training_loss, 0.628818, val_loss, 0.629671, time, 1406
Epoch 12, training_acc 0.873151, val_acc, 0.893634, training_loss, 0.629700, val_loss, 0.625030, time, 1521
Epoch 13, training_acc 0.890033, val_acc, 0.907350, training_loss, 0.625716, val_loss, 0.621103, time, 1641
Epoch 14, training_acc 0.885444, val_acc, 0.906056, training_loss, 0.626683, val_loss, 0.621550, time, 1750
Epoch 15, training_acc 0.891864, val_acc, 0.909938, training_loss, 0.625279, val_loss, 0.620489, time, 1874
Epoch 16, training_acc 0.890104, val_acc, 0.886128, training_loss, 0.625625, val_loss, 0.627707, time, 1994
Epoch 17, training_acc 0.880831, val_acc, 0.903468, training_loss, 0.628076, val_loss, 0.621918, time, 2115
Epoch 18, training_acc 0.883661, val_acc, 0.871894, training_loss, 0.627204, val_loss, 0.630793, time, 2230
Epoch 19, training_acc 0.873984, val_acc, 0.894928, training_loss, 0.629564, val_loss, 0.624733, time, 2349
Epoch 20, training_acc 0.880475, val_acc, 0.884576, training_loss, 0.627980, val_loss, 0.626975, time, 2467
Epoch 21, training_acc 0.865281, val_acc, 0.899845, training_loss, 0.631609, val_loss, 0.624018, time, 2591
Epoch 22, training_acc 0.886062, val_acc, 0.908644, training_loss, 0.626632, val_loss, 0.621022, time, 2709
Epoch 23, training_acc 0.885182, val_acc, 0.881729, training_loss, 0.626694, val_loss, 0.627485, time, 2829
Epoch 24, training_acc 0.859242, val_acc, 0.867495, training_loss, 0.633209, val_loss, 0.631206, time, 2946
Epoch 25, training_acc 0.868895, val_acc, 0.896222, training_loss, 0.630957, val_loss, 0.624602, time, 3069
Epoch 26, training_acc 0.868039, val_acc, 0.842909, training_loss, 0.631008, val_loss, 0.637096, time, 3181
Epoch 27, training_acc 0.852775, val_acc, 0.862060, training_loss, 0.634832, val_loss, 0.632999, time, 3302
Epoch 28, training_acc 0.865471, val_acc, 0.890010, training_loss, 0.631749, val_loss, 0.625513, time, 3417
Epoch 29, training_acc 0.876742, val_acc, 0.878364, training_loss, 0.628884, val_loss, 0.628841, time, 3537
Epoch 30, training_acc 0.844500, val_acc, 0.875776, training_loss, 0.636785, val_loss, 0.629556, time, 3648
Epoch 31, training_acc 0.869466, val_acc, 0.903727, training_loss, 0.630757, val_loss, 0.622677, time, 3765
Epoch 32, training_acc 0.863688, val_acc, 0.863613, training_loss, 0.632006, val_loss, 0.632339, time, 3875
Epoch 33, training_acc 0.868658, val_acc, 0.869824, training_loss, 0.630983, val_loss, 0.630536, time, 3993
Epoch 34, training_acc 0.875529, val_acc, 0.893375, training_loss, 0.628931, val_loss, 0.626329, time, 4112
Epoch 35, training_acc 0.859313, val_acc, 0.855331, training_loss, 0.633181, val_loss, 0.634080, time, 4217
Epoch 36, training_acc 0.831471, val_acc, 0.791149, training_loss, 0.640091, val_loss, 0.650565, time, 4334
Epoch 37, training_acc 0.834609, val_acc, 0.869306, training_loss, 0.639242, val_loss, 0.630934, time, 4453
Epoch 38, training_acc 0.854201, val_acc, 0.833851, training_loss, 0.634586, val_loss, 0.637504, time, 4563
Epoch 39, training_acc 0.849137, val_acc, 0.871636, training_loss, 0.636222, val_loss, 0.628842, time, 4678
Test set acc 0.902686, test_loss, 0.622287
